#Voltage (V)	Threshold (mV)	Triple	Doppie
700     180     756    4106
712     180     1333   4014
725     180     1569   4024
737     180     1949   4064
741     180     2823   3952
745     180     2973   3942
750     180     3219   4050
762     180     3510   4066
775     180     4076   4199
800     180     4054   4123
825     180     3960   4003
850     180     4002   4023
875     180     4107   4122
900     180     4128   4136
925     180     4152   4170
950     180     4013   4032
975     180     3911   3934
1000    180     3909   3933
1025    180     3991   4020
1050    180     4142   4167
