#Threshold (mV)	Time (s)	count1
70		180		702732
80              180             488021
90              180             441044
100             180             332159
110             180             310382
120             180             268800
130             180             236145
140             180             228448
150             180             204094
160             180             188027
170             180             167168
180             180             163114
190             180             147547
200             180             134176
210             180             124459
220             180             110719
230             180             107149
240             180             94288
250             180             93032
