#Threshold (mV)	Time (s)	count1
70		180		27966
80		180		23195
90              180             19896
100             180             16814
110             180             15319
120             180             13063
130             180             11297
140             180             10623
150             180             9815
160             180             8744
170             180             7609
180             180             7076
190             180             6562
200             180             5745
210             180             4949
220             180             4537
230             180             4156
240             180             3746
250             180             3616
