#threshold (mV)	time (s)	count1
70      	60              60249		
80      	60              42319		
90      	60              40143		
100      	60              34046		
110     	60              31718		
120     	60              29052		
130     	60              25739		
140             60              19898            
150             60              18538           
160             60              16740            
170             60              17298            
180             60              15961  
190		180		46625
200		180		41713
210		180		38466
220		180		33700
230		180		31222
240		180		28307
250		180		24764
