#Threshold (mV)	Time (s)	count1
70		180		634312
80		180		433832
90		180		432013
100		180		326758
110		180		324900
120		180		280854
130		180		248713
140             180             264423
150             180             222463
160             180             216875
170             180             194871
180             180             187493
190             180             179909
200             180             166353
210             180             158019
220             180             146454
230             180             140676
240             180             133263
250             180             130529
