Model,MSO2024
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.2
Label,,
TIME,CH1,CH2
-5.00709e-05,0.008,-0.00799999
-5.00699e-05,0.008,7.62939e-09
-5.00689e-05,0.008,-0.00799999
-5.00679e-05,0.008,7.62939e-09
-5.00669e-05,0.008,-0.00799999
-5.00659e-05,0.008,7.62939e-09
-5.00649e-05,0.008,-0.00799999
-5.00639e-05,0.008,7.62939e-09
-5.00629e-05,0.008,-0.00799999
-5.00619e-05,0,7.62939e-09
-5.00609e-05,0.008,-0.00799999
-5.00599e-05,0.008,7.62939e-09
-5.00589e-05,0.008,-0.00799999
-5.00579e-05,0.008,7.62939e-09
-5.00569e-05,0.008,-0.00799999
-5.00559e-05,0.008,7.62939e-09
-5.00549e-05,0.008,7.62939e-09
-5.00539e-05,0.008,7.62939e-09
-5.00529e-05,0.008,-0.00799999
-5.00519e-05,0.008,7.62939e-09
-5.00509e-05,0.008,7.62939e-09
-5.00499e-05,0.008,7.62939e-09
-5.00489e-05,0.008,7.62939e-09
-5.00479e-05,0.008,7.62939e-09
-5.00469e-05,0.008,-0.00799999
-5.00459e-05,0.008,7.62939e-09
-5.00449e-05,0.008,-0.00799999
-5.00439e-05,0.008,7.62939e-09
-5.00429e-05,0.008,-0.00799999
-5.00419e-05,0.008,7.62939e-09
-5.00409e-05,0.008,-0.00799999
-5.00399e-05,0.008,7.62939e-09
-5.00389e-05,0.008,-0.00799999
-5.00379e-05,0.008,7.62939e-09
-5.00369e-05,0.008,-0.00799999
-5.00359e-05,0.008,7.62939e-09
-5.00349e-05,0.008,-0.00799999
-5.00339e-05,0.008,7.62939e-09
-5.00329e-05,0.008,-0.00799999
-5.00319e-05,0.008,-0.00799999
-5.00309e-05,0.008,-0.00799999
-5.00299e-05,0.008,7.62939e-09
-5.00289e-05,0.008,-0.00799999
-5.00279e-05,0.008,7.62939e-09
-5.00269e-05,0.008,-0.00799999
-5.00259e-05,0.008,7.62939e-09
-5.00249e-05,0.008,-0.00799999
-5.00239e-05,0.008,7.62939e-09
-5.00229e-05,0.008,-0.00799999
-5.00219e-05,0.008,7.62939e-09
-5.00209e-05,0.008,-0.00799999
-5.00199e-05,0.008,7.62939e-09
-5.00189e-05,0.008,-0.00799999
-5.00179e-05,0.008,7.62939e-09
-5.00169e-05,0.008,-0.00799999
-5.00159e-05,0.008,7.62939e-09
-5.00149e-05,0.008,-0.00799999
-5.00139e-05,0.008,7.62939e-09
-5.00129e-05,0.008,-0.00799999
-5.00119e-05,0.008,7.62939e-09
-5.00109e-05,0.008,-0.00799999
-5.00099e-05,0.008,7.62939e-09
-5.00089e-05,0.008,-0.00799999
-5.00079e-05,0.008,7.62939e-09
-5.00069e-05,0.008,-0.00799999
-5.00059e-05,0.008,-0.00799999
-5.00049e-05,0.008,-0.00799999
-5.00039e-05,0,7.62939e-09
-5.00029e-05,0.008,-0.00799999
-5.00019e-05,0.008,7.62939e-09
-5.00009e-05,0.008,-0.00799999
-4.99999e-05,0.008,-0.00799999
-4.99989e-05,0.008,-0.00799999
-4.99979e-05,0.008,-0.00799999
-4.99969e-05,0.008,-0.00799999
-4.99959e-05,0.008,7.62939e-09
-4.99949e-05,0.008,-0.00799999
-4.99939e-05,0.008,7.62939e-09
-4.99929e-05,0.008,-0.00799999
-4.99919e-05,0.008,7.62939e-09
-4.99909e-05,0.008,-0.00799999
-4.99899e-05,0.008,7.62939e-09
-4.99889e-05,0.008,-0.00799999
-4.99879e-05,0.008,7.62939e-09
-4.99869e-05,0.008,-0.00799999
-4.99859e-05,0.008,7.62939e-09
-4.99849e-05,0.008,-0.00799999
-4.99839e-05,0.008,7.62939e-09
-4.99829e-05,0.008,-0.00799999
-4.99819e-05,0.008,7.62939e-09
-4.99809e-05,0.008,-0.00799999
-4.99799e-05,0.008,7.62939e-09
-4.99789e-05,0.008,-0.00799999
-4.99779e-05,0.008,7.62939e-09
-4.99769e-05,0.008,-0.00799999
-4.99759e-05,0.008,7.62939e-09
-4.99749e-05,0.008,-0.00799999
-4.99739e-05,0.008,7.62939e-09
-4.99729e-05,0.008,-0.00799999
-4.99719e-05,0.008,7.62939e-09
-4.99709e-05,0.008,-0.00799999
-4.99699e-05,0.008,7.62939e-09
-4.99689e-05,0.008,-0.00799999
-4.99679e-05,0.008,7.62939e-09
-4.99669e-05,0.008,-0.00799999
-4.99659e-05,0.008,7.62939e-09
-4.99649e-05,0.008,-0.00799999
-4.99639e-05,0.008,7.62939e-09
-4.99629e-05,0.008,-0.00799999
-4.99619e-05,0.008,7.62939e-09
-4.99609e-05,0.008,-0.00799999
-4.99599e-05,0.008,7.62939e-09
-4.99589e-05,0.008,-0.00799999
-4.99579e-05,0.008,7.62939e-09
-4.99569e-05,0.008,-0.00799999
-4.99559e-05,0,7.62939e-09
-4.99549e-05,0.008,-0.00799999
-4.99539e-05,0.008,7.62939e-09
-4.99529e-05,0.008,-0.00799999
-4.99519e-05,0.008,7.62939e-09
-4.99509e-05,0.008,-0.00799999
-4.99499e-05,0.008,7.62939e-09
-4.99489e-05,0.008,-0.00799999
-4.99479e-05,0.008,7.62939e-09
-4.99469e-05,0.008,-0.00799999
-4.99459e-05,0.008,7.62939e-09
-4.99449e-05,0,-0.00799999
-4.99439e-05,0.008,7.62939e-09
-4.99429e-05,0.008,-0.00799999
-4.99419e-05,0.008,7.62939e-09
-4.99409e-05,0.008,-0.00799999
-4.99399e-05,0.008,7.62939e-09
-4.99389e-05,0.008,-0.00799999
-4.99379e-05,0.008,7.62939e-09
-4.99369e-05,0.008,-0.00799999
-4.99359e-05,0.008,7.62939e-09
-4.99349e-05,0.008,-0.00799999
-4.99339e-05,0.008,7.62939e-09
-4.99329e-05,0.008,-0.00799999
-4.99319e-05,0.008,7.62939e-09
-4.99309e-05,0.008,-0.00799999
-4.99299e-05,0.008,7.62939e-09
-4.99289e-05,0.008,-0.00799999
-4.99279e-05,0.008,7.62939e-09
-4.99269e-05,0.008,-0.00799999
-4.99259e-05,0.008,7.62939e-09
-4.99249e-05,0.008,-0.00799999
-4.99239e-05,0.008,7.62939e-09
-4.99229e-05,0.008,-0.00799999
-4.99219e-05,0.008,7.62939e-09
-4.99209e-05,0.008,-0.00799999
-4.99199e-05,0.008,7.62939e-09
-4.99189e-05,0.008,7.62939e-09
-4.99179e-05,0.008,7.62939e-09
-4.99169e-05,0,-0.00799999
-4.99159e-05,0.008,7.62939e-09
-4.99149e-05,0.008,-0.00799999
-4.99139e-05,0.008,7.62939e-09
-4.99129e-05,0.008,-0.00799999
-4.99119e-05,0.008,7.62939e-09
-4.99109e-05,0,-0.00799999
-4.99099e-05,0.008,7.62939e-09
