#Voltage (V)	Threshold (mV)	Triple	Doppie
700     170     61      3692
710     170     77      2991
725     170     137     3102   
737     170     235     3984
750     170     333     3033
762     170     625     3646
775     170     948     3981
787     170     1390    4088
800     170     2090    3986
812     170     2692    3913
825     170     3396    3945
850     170     3852    4002
875     170     3882    3960
900     170     3941    3966
950     170     4163    4179
1000    170     3955    3974   
