#Voltage (V)	Threshold (mV)	Triple	Doppie
700     130      2231   4109 
705     130      2317   3954     
712     130      2748   3919
720     130      3135   3930
725     130      3795   4198
737     130      4019   4172
750     130      4084   4201 
762     130      4075   4150
775     130      4078   4153   
800     130      4024   4067
825     130      4153   4227
850     130      4032   4061
875     130      4088   4109
900     130      4053   4078
925     130      4023   4034
950     130      4065   4085
